Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Down-regulation price in the Balancing energy market
2017-12-31 23:00:00,2018-01-01 00:00:00,2018-01-01 02:00:00,2018-01-01 03:00:00,26.33
2018-01-01 00:00:00,2018-01-01 01:00:00,2018-01-01 03:00:00,2018-01-01 04:00:00,26.43
2018-01-01 01:00:00,2018-01-01 02:00:00,2018-01-01 04:00:00,2018-01-01 05:00:00,26.1
2018-01-01 02:00:00,2018-01-01 03:00:00,2018-01-01 05:00:00,2018-01-01 06:00:00,24.7
2018-01-01 03:00:00,2018-01-01 04:00:00,2018-01-01 06:00:00,2018-01-01 07:00:00,24.74
2018-01-01 04:00:00,2018-01-01 05:00:00,2018-01-01 07:00:00,2018-01-01 08:00:00,18.01
2018-01-01 05:00:00,2018-01-01 06:00:00,2018-01-01 08:00:00,2018-01-01 09:00:00,17.78
2018-01-01 06:00:00,2018-01-01 07:00:00,2018-01-01 09:00:00,2018-01-01 10:00:00,17.8
2018-01-01 07:00:00,2018-01-01 08:00:00,2018-01-01 10:00:00,2018-01-01 11:00:00,19.76
2018-01-01 08:00:00,2018-01-01 09:00:00,2018-01-01 11:00:00,2018-01-01 12:00:00,20.73
2018-01-01 09:00:00,2018-01-01 10:00:00,2018-01-01 12:00:00,2018-01-01 13:00:00,24.76
2018-01-01 10:00:00,2018-01-01 11:00:00,2018-01-01 13:00:00,2018-01-01 14:00:00,25.68
2018-01-01 11:00:00,2018-01-01 12:00:00,2018-01-01 14:00:00,2018-01-01 15:00:00,24.09
2018-01-01 12:00:00,2018-01-01 13:00:00,2018-01-01 15:00:00,2018-01-01 16:00:00,25.01
2018-01-01 13:00:00,2018-01-01 14:00:00,2018-01-01 16:00:00,2018-01-01 17:00:00,25.81
2018-01-01 14:00:00,2018-01-01 15:00:00,2018-01-01 17:00:00,2018-01-01 18:00:00,26.46
2018-01-01 15:00:00,2018-01-01 16:00:00,2018-01-01 18:00:00,2018-01-01 19:00:00,27.03
2018-01-01 16:00:00,2018-01-01 17:00:00,2018-01-01 19:00:00,2018-01-01 20:00:00,27.43
2018-01-01 17:00:00,2018-01-01 18:00:00,2018-01-01 20:00:00,2018-01-01 21:00:00,27.29
2018-01-01 18:00:00,2018-01-01 19:00:00,2018-01-01 21:00:00,2018-01-01 22:00:00,26.96
2018-01-01 19:00:00,2018-01-01 20:00:00,2018-01-01 22:00:00,2018-01-01 23:00:00,26.7
2018-01-01 20:00:00,2018-01-01 21:00:00,2018-01-01 23:00:00,2018-01-02 00:00:00,26.47
2018-01-01 21:00:00,2018-01-01 22:00:00,2018-01-02 00:00:00,2018-01-02 01:00:00,26.09
2018-01-01 22:00:00,2018-01-01 23:00:00,2018-01-02 01:00:00,2018-01-02 02:00:00,21.9
2018-01-01 23:00:00,2018-01-02 00:00:00,2018-01-02 02:00:00,2018-01-02 03:00:00,5.0
2018-01-02 00:00:00,2018-01-02 01:00:00,2018-01-02 03:00:00,2018-01-02 04:00:00,3.0
2018-01-02 01:00:00,2018-01-02 02:00:00,2018-01-02 04:00:00,2018-01-02 05:00:00,3.0
2018-01-02 02:00:00,2018-01-02 03:00:00,2018-01-02 05:00:00,2018-01-02 06:00:00,3.0
2018-01-02 03:00:00,2018-01-02 04:00:00,2018-01-02 06:00:00,2018-01-02 07:00:00,25.73
2018-01-02 04:00:00,2018-01-02 05:00:00,2018-01-02 07:00:00,2018-01-02 08:00:00,23.34
2018-01-02 05:00:00,2018-01-02 06:00:00,2018-01-02 08:00:00,2018-01-02 09:00:00,23.2
2018-01-02 06:00:00,2018-01-02 07:00:00,2018-01-02 09:00:00,2018-01-02 10:00:00,24.7
2018-01-02 07:00:00,2018-01-02 08:00:00,2018-01-02 10:00:00,2018-01-02 11:00:00,25.37
2018-01-02 08:00:00,2018-01-02 09:00:00,2018-01-02 11:00:00,2018-01-02 12:00:00,25.37
2018-01-02 09:00:00,2018-01-02 10:00:00,2018-01-02 12:00:00,2018-01-02 13:00:00,25.39
2018-01-02 10:00:00,2018-01-02 11:00:00,2018-01-02 13:00:00,2018-01-02 14:00:00,27.4
2018-01-02 11:00:00,2018-01-02 12:00:00,2018-01-02 14:00:00,2018-01-02 15:00:00,27.91
2018-01-02 12:00:00,2018-01-02 13:00:00,2018-01-02 15:00:00,2018-01-02 16:00:00,27.91
2018-01-02 13:00:00,2018-01-02 14:00:00,2018-01-02 16:00:00,2018-01-02 17:00:00,27.5
2018-01-02 14:00:00,2018-01-02 15:00:00,2018-01-02 17:00:00,2018-01-02 18:00:00,27.4
2018-01-02 15:00:00,2018-01-02 16:00:00,2018-01-02 18:00:00,2018-01-02 19:00:00,27.4
2018-01-02 16:00:00,2018-01-02 17:00:00,2018-01-02 19:00:00,2018-01-02 20:00:00,27.6
2018-01-02 17:00:00,2018-01-02 18:00:00,2018-01-02 20:00:00,2018-01-02 21:00:00,28.42
2018-01-02 18:00:00,2018-01-02 19:00:00,2018-01-02 21:00:00,2018-01-02 22:00:00,27.5
2018-01-02 19:00:00,2018-01-02 20:00:00,2018-01-02 22:00:00,2018-01-02 23:00:00,25.37
2018-01-02 20:00:00,2018-01-02 21:00:00,2018-01-02 23:00:00,2018-01-03 00:00:00,25.1
2018-01-02 21:00:00,2018-01-02 22:00:00,2018-01-03 00:00:00,2018-01-03 01:00:00,23.34
2018-01-02 22:00:00,2018-01-02 23:00:00,2018-01-03 01:00:00,2018-01-03 02:00:00,22.7
2018-01-02 23:00:00,2018-01-03 00:00:00,2018-01-03 02:00:00,2018-01-03 03:00:00,27.12
2018-01-03 00:00:00,2018-01-03 01:00:00,2018-01-03 03:00:00,2018-01-03 04:00:00,23.52
2018-01-03 01:00:00,2018-01-03 02:00:00,2018-01-03 04:00:00,2018-01-03 05:00:00,20.45
2018-01-03 02:00:00,2018-01-03 03:00:00,2018-01-03 05:00:00,2018-01-03 06:00:00,17.89
2018-01-03 03:00:00,2018-01-03 04:00:00,2018-01-03 06:00:00,2018-01-03 07:00:00,17.5
2018-01-03 04:00:00,2018-01-03 05:00:00,2018-01-03 07:00:00,2018-01-03 08:00:00,20.45
2018-01-03 05:00:00,2018-01-03 06:00:00,2018-01-03 08:00:00,2018-01-03 09:00:00,22.5
2018-01-03 06:00:00,2018-01-03 07:00:00,2018-01-03 09:00:00,2018-01-03 10:00:00,23.52
2018-01-03 07:00:00,2018-01-03 08:00:00,2018-01-03 10:00:00,2018-01-03 11:00:00,24.3
2018-01-03 08:00:00,2018-01-03 09:00:00,2018-01-03 11:00:00,2018-01-03 12:00:00,23.52
2018-01-03 09:00:00,2018-01-03 10:00:00,2018-01-03 12:00:00,2018-01-03 13:00:00,23.52
2018-01-03 10:00:00,2018-01-03 11:00:00,2018-01-03 13:00:00,2018-01-03 14:00:00,27.09
2018-01-03 11:00:00,2018-01-03 12:00:00,2018-01-03 14:00:00,2018-01-03 15:00:00,27.09
2018-01-03 12:00:00,2018-01-03 13:00:00,2018-01-03 15:00:00,2018-01-03 16:00:00,27.09
2018-01-03 13:00:00,2018-01-03 14:00:00,2018-01-03 16:00:00,2018-01-03 17:00:00,29.86
