Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Up-regulating price in the Balancing energy market
31.12.2017 23:00,1.1.2018 0:00,1.1.2018 2:00,1.1.2018 3:00,31.1
1.1.2018 0:00,1.1.2018 1:00,1.1.2018 3:00,1.1.2018 4:00,30.47
1.1.2018 1:00,1.1.2018 2:00,1.1.2018 4:00,1.1.2018 5:00,30
1.1.2018 2:00,1.1.2018 3:00,1.1.2018 5:00,1.1.2018 6:00,30
1.1.2018 3:00,1.1.2018 4:00,1.1.2018 6:00,1.1.2018 7:00,28.42
1.1.2018 4:00,1.1.2018 5:00,1.1.2018 7:00,1.1.2018 8:00,29.3
1.1.2018 5:00,1.1.2018 6:00,1.1.2018 8:00,1.1.2018 9:00,29.94
1.1.2018 6:00,1.1.2018 7:00,1.1.2018 9:00,1.1.2018 10:00,29.94
1.1.2018 7:00,1.1.2018 8:00,1.1.2018 10:00,1.1.2018 11:00,28.42
1.1.2018 8:00,1.1.2018 9:00,1.1.2018 11:00,1.1.2018 12:00,20.73
1.1.2018 9:00,1.1.2018 10:00,1.1.2018 12:00,1.1.2018 13:00,24.76
1.1.2018 10:00,1.1.2018 11:00,1.1.2018 13:00,1.1.2018 14:00,25.68
1.1.2018 11:00,1.1.2018 12:00,1.1.2018 14:00,1.1.2018 15:00,24.09
1.1.2018 12:00,1.1.2018 13:00,1.1.2018 15:00,1.1.2018 16:00,25.01
1.1.2018 13:00,1.1.2018 14:00,1.1.2018 16:00,1.1.2018 17:00,25.81
1.1.2018 14:00,1.1.2018 15:00,1.1.2018 17:00,1.1.2018 18:00,26.46
1.1.2018 15:00,1.1.2018 16:00,1.1.2018 18:00,1.1.2018 19:00,28.99
1.1.2018 16:00,1.1.2018 17:00,1.1.2018 19:00,1.1.2018 20:00,29.94
1.1.2018 17:00,1.1.2018 18:00,1.1.2018 20:00,1.1.2018 21:00,29.94
1.1.2018 18:00,1.1.2018 19:00,1.1.2018 21:00,1.1.2018 22:00,29.94
1.1.2018 19:00,1.1.2018 20:00,1.1.2018 22:00,1.1.2018 23:00,26.7
1.1.2018 20:00,1.1.2018 21:00,1.1.2018 23:00,2.1.2018 0:00,26.47
1.1.2018 21:00,1.1.2018 22:00,2.1.2018 0:00,2.1.2018 1:00,26.09
1.1.2018 22:00,1.1.2018 23:00,2.1.2018 1:00,2.1.2018 2:00,24.88
1.1.2018 23:00,2.1.2018 0:00,2.1.2018 2:00,2.1.2018 3:00,25.28
2.1.2018 0:00,2.1.2018 1:00,2.1.2018 3:00,2.1.2018 4:00,23.16
2.1.2018 1:00,2.1.2018 2:00,2.1.2018 4:00,2.1.2018 5:00,24.78
2.1.2018 2:00,2.1.2018 3:00,2.1.2018 5:00,2.1.2018 6:00,25.03
2.1.2018 3:00,2.1.2018 4:00,2.1.2018 6:00,2.1.2018 7:00,25.73
2.1.2018 4:00,2.1.2018 5:00,2.1.2018 7:00,2.1.2018 8:00,26.84
2.1.2018 5:00,2.1.2018 6:00,2.1.2018 8:00,2.1.2018 9:00,27.8
2.1.2018 6:00,2.1.2018 7:00,2.1.2018 9:00,2.1.2018 10:00,30.5
2.1.2018 7:00,2.1.2018 8:00,2.1.2018 10:00,2.1.2018 11:00,31.93
2.1.2018 8:00,2.1.2018 9:00,2.1.2018 11:00,2.1.2018 12:00,33.53
2.1.2018 9:00,2.1.2018 10:00,2.1.2018 12:00,2.1.2018 13:00,35.04
2.1.2018 10:00,2.1.2018 11:00,2.1.2018 13:00,2.1.2018 14:00,35.22
2.1.2018 11:00,2.1.2018 12:00,2.1.2018 14:00,2.1.2018 15:00,34.56
2.1.2018 12:00,2.1.2018 13:00,2.1.2018 15:00,2.1.2018 16:00,34.1
2.1.2018 13:00,2.1.2018 14:00,2.1.2018 16:00,2.1.2018 17:00,35.98
2.1.2018 14:00,2.1.2018 15:00,2.1.2018 17:00,2.1.2018 18:00,38.05
2.1.2018 15:00,2.1.2018 16:00,2.1.2018 18:00,2.1.2018 19:00,41.67
2.1.2018 16:00,2.1.2018 17:00,2.1.2018 19:00,2.1.2018 20:00,42.39
2.1.2018 17:00,2.1.2018 18:00,2.1.2018 20:00,2.1.2018 21:00,37.79
2.1.2018 18:00,2.1.2018 19:00,2.1.2018 21:00,2.1.2018 22:00,33.7
2.1.2018 19:00,2.1.2018 20:00,2.1.2018 22:00,2.1.2018 23:00,30.88
2.1.2018 20:00,2.1.2018 21:00,2.1.2018 23:00,3.1.2018 0:00,28.85
2.1.2018 21:00,2.1.2018 22:00,3.1.2018 0:00,3.1.2018 1:00,27.99
2.1.2018 22:00,2.1.2018 23:00,3.1.2018 1:00,3.1.2018 2:00,27.6
2.1.2018 23:00,3.1.2018 0:00,3.1.2018 2:00,3.1.2018 3:00,27.12
3.1.2018 0:00,3.1.2018 1:00,3.1.2018 3:00,3.1.2018 4:00,26.61
3.1.2018 1:00,3.1.2018 2:00,3.1.2018 4:00,3.1.2018 5:00,26.26
3.1.2018 2:00,3.1.2018 3:00,3.1.2018 5:00,3.1.2018 6:00,26.23
3.1.2018 3:00,3.1.2018 4:00,3.1.2018 6:00,3.1.2018 7:00,26.42
3.1.2018 4:00,3.1.2018 5:00,3.1.2018 7:00,3.1.2018 8:00,27.47
3.1.2018 5:00,3.1.2018 6:00,3.1.2018 8:00,3.1.2018 9:00,28.31
3.1.2018 6:00,3.1.2018 7:00,3.1.2018 9:00,3.1.2018 10:00,28.95
3.1.2018 7:00,3.1.2018 8:00,3.1.2018 10:00,3.1.2018 11:00,29.2
3.1.2018 8:00,3.1.2018 9:00,3.1.2018 11:00,3.1.2018 12:00,29.28
3.1.2018 9:00,3.1.2018 10:00,3.1.2018 12:00,3.1.2018 13:00,29.42
3.1.2018 10:00,3.1.2018 11:00,3.1.2018 13:00,3.1.2018 14:00,29.25
3.1.2018 11:00,3.1.2018 12:00,3.1.2018 14:00,3.1.2018 15:00,29.23
3.1.2018 12:00,3.1.2018 13:00,3.1.2018 15:00,3.1.2018 16:00,30.67
3.1.2018 13:00,3.1.2018 14:00,3.1.2018 16:00,3.1.2018 17:00,32.1
3.1.2018 14:00,3.1.2018 15:00,3.1.2018 17:00,3.1.2018 18:00,32.1
3.1.2018 15:00,3.1.2018 16:00,3.1.2018 18:00,3.1.2018 19:00,32.1
