Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Wind power generation - hourly data
2017-12-31 20:00:00,2017-12-31 21:00:00,2017-12-31 23:00:00,2018-01-01 00:00:00,938.0
2017-12-31 21:00:00,2017-12-31 22:00:00,2018-01-01 00:00:00,2018-01-01 01:00:00,934.0
2017-12-31 22:00:00,2017-12-31 23:00:00,2018-01-01 01:00:00,2018-01-01 02:00:00,877.0
2017-12-31 23:00:00,2018-01-01 00:00:00,2018-01-01 02:00:00,2018-01-01 03:00:00,904.0
2018-01-01 00:00:00,2018-01-01 01:00:00,2018-01-01 03:00:00,2018-01-01 04:00:00,923.0
2018-01-01 01:00:00,2018-01-01 02:00:00,2018-01-01 04:00:00,2018-01-01 05:00:00,911.0
2018-01-01 02:00:00,2018-01-01 03:00:00,2018-01-01 05:00:00,2018-01-01 06:00:00,924.0
2018-01-01 03:00:00,2018-01-01 04:00:00,2018-01-01 06:00:00,2018-01-01 07:00:00,867.0
2018-01-01 04:00:00,2018-01-01 05:00:00,2018-01-01 07:00:00,2018-01-01 08:00:00,863.0
2018-01-01 05:00:00,2018-01-01 06:00:00,2018-01-01 08:00:00,2018-01-01 09:00:00,829.0
2018-01-01 06:00:00,2018-01-01 07:00:00,2018-01-01 09:00:00,2018-01-01 10:00:00,798.0
2018-01-01 07:00:00,2018-01-01 08:00:00,2018-01-01 10:00:00,2018-01-01 11:00:00,792.0
2018-01-01 08:00:00,2018-01-01 09:00:00,2018-01-01 11:00:00,2018-01-01 12:00:00,760.0
2018-01-01 09:00:00,2018-01-01 10:00:00,2018-01-01 12:00:00,2018-01-01 13:00:00,728.0
2018-01-01 10:00:00,2018-01-01 11:00:00,2018-01-01 13:00:00,2018-01-01 14:00:00,670.0
2018-01-01 11:00:00,2018-01-01 12:00:00,2018-01-01 14:00:00,2018-01-01 15:00:00,646.0
2018-01-01 12:00:00,2018-01-01 13:00:00,2018-01-01 15:00:00,2018-01-01 16:00:00,593.0
2018-01-01 13:00:00,2018-01-01 14:00:00,2018-01-01 16:00:00,2018-01-01 17:00:00,582.0
2018-01-01 14:00:00,2018-01-01 15:00:00,2018-01-01 17:00:00,2018-01-01 18:00:00,600.0
2018-01-01 15:00:00,2018-01-01 16:00:00,2018-01-01 18:00:00,2018-01-01 19:00:00,555.0
2018-01-01 16:00:00,2018-01-01 17:00:00,2018-01-01 19:00:00,2018-01-01 20:00:00,521.0
2018-01-01 17:00:00,2018-01-01 18:00:00,2018-01-01 20:00:00,2018-01-01 21:00:00,499.0
2018-01-01 18:00:00,2018-01-01 19:00:00,2018-01-01 21:00:00,2018-01-01 22:00:00,474.0
2018-01-01 19:00:00,2018-01-01 20:00:00,2018-01-01 22:00:00,2018-01-01 23:00:00,466.0
2018-01-01 20:00:00,2018-01-01 21:00:00,2018-01-01 23:00:00,2018-01-02 00:00:00,430.0
2018-01-01 21:00:00,2018-01-01 22:00:00,2018-01-02 00:00:00,2018-01-02 01:00:00,402.0
2018-01-01 22:00:00,2018-01-01 23:00:00,2018-01-02 01:00:00,2018-01-02 02:00:00,385.0
2018-01-01 23:00:00,2018-01-02 00:00:00,2018-01-02 02:00:00,2018-01-02 03:00:00,352.0
2018-01-02 00:00:00,2018-01-02 01:00:00,2018-01-02 03:00:00,2018-01-02 04:00:00,315.0
2018-01-02 01:00:00,2018-01-02 02:00:00,2018-01-02 04:00:00,2018-01-02 05:00:00,255.0
2018-01-02 02:00:00,2018-01-02 03:00:00,2018-01-02 05:00:00,2018-01-02 06:00:00,237.0
2018-01-02 03:00:00,2018-01-02 04:00:00,2018-01-02 06:00:00,2018-01-02 07:00:00,225.0
2018-01-02 04:00:00,2018-01-02 05:00:00,2018-01-02 07:00:00,2018-01-02 08:00:00,215.0
2018-01-02 05:00:00,2018-01-02 06:00:00,2018-01-02 08:00:00,2018-01-02 09:00:00,189.0
2018-01-02 06:00:00,2018-01-02 07:00:00,2018-01-02 09:00:00,2018-01-02 10:00:00,179.0
2018-01-02 07:00:00,2018-01-02 08:00:00,2018-01-02 10:00:00,2018-01-02 11:00:00,157.0
2018-01-02 08:00:00,2018-01-02 09:00:00,2018-01-02 11:00:00,2018-01-02 12:00:00,140.0
2018-01-02 09:00:00,2018-01-02 10:00:00,2018-01-02 12:00:00,2018-01-02 13:00:00,129.0
2018-01-02 10:00:00,2018-01-02 11:00:00,2018-01-02 13:00:00,2018-01-02 14:00:00,119.0
2018-01-02 11:00:00,2018-01-02 12:00:00,2018-01-02 14:00:00,2018-01-02 15:00:00,110.0
2018-01-02 12:00:00,2018-01-02 13:00:00,2018-01-02 15:00:00,2018-01-02 16:00:00,96.0
2018-01-02 13:00:00,2018-01-02 14:00:00,2018-01-02 16:00:00,2018-01-02 17:00:00,128.0
2018-01-02 14:00:00,2018-01-02 15:00:00,2018-01-02 17:00:00,2018-01-02 18:00:00,174.0
2018-01-02 15:00:00,2018-01-02 16:00:00,2018-01-02 18:00:00,2018-01-02 19:00:00,189.0
2018-01-02 16:00:00,2018-01-02 17:00:00,2018-01-02 19:00:00,2018-01-02 20:00:00,248.0
2018-01-02 17:00:00,2018-01-02 18:00:00,2018-01-02 20:00:00,2018-01-02 21:00:00,288.0
2018-01-02 18:00:00,2018-01-02 19:00:00,2018-01-02 21:00:00,2018-01-02 22:00:00,321.0
2018-01-02 19:00:00,2018-01-02 20:00:00,2018-01-02 22:00:00,2018-01-02 23:00:00,359.0
2018-01-02 20:00:00,2018-01-02 21:00:00,2018-01-02 23:00:00,2018-01-03 00:00:00,391.0
2018-01-02 21:00:00,2018-01-02 22:00:00,2018-01-03 00:00:00,2018-01-03 01:00:00,443.0
2018-01-02 22:00:00,2018-01-02 23:00:00,2018-01-03 01:00:00,2018-01-03 02:00:00,529.0
2018-01-02 23:00:00,2018-01-03 00:00:00,2018-01-03 02:00:00,2018-01-03 03:00:00,585.0
2018-01-03 00:00:00,2018-01-03 01:00:00,2018-01-03 03:00:00,2018-01-03 04:00:00,672.0
2018-01-03 01:00:00,2018-01-03 02:00:00,2018-01-03 04:00:00,2018-01-03 05:00:00,725.0
2018-01-03 02:00:00,2018-01-03 03:00:00,2018-01-03 05:00:00,2018-01-03 06:00:00,748.0
